municipio;data;populacaoTCU2019; casos ;obitos
Manaus;12/08/2020;2182763;352;9
Manaus;13/08/2020;2182763;397;11
Manaus;14/08/2020;2182763;293;16
Manaus;15/08/2020;2182763;7;1
Manaus;16/08/2020;2182763;376;16
Manaus;17/08/2020;2182763;143;19
Manaus;18/08/2020;2182763;203;17
Manaus;19/08/2020;2182763;284;5
Manaus;20/08/2020;2182763;316;7
Manaus;21/08/2020;2182763;94;1
Manaus;22/08/2020;2182763;313;1
Manaus;23/08/2020;2182763;66;5
Manaus;24/08/2020;2182763;20;3
Manaus;25/08/2020;2182763;343;11
Manaus;26/08/2020;2182763;339;10
Manaus;27/08/2020;2182763;221;13
Manaus;28/08/2020;2182763;332;11
Manaus;29/08/2020;2182763;252;1
Manaus;30/08/2020;2182763;52;2
Manaus;31/08/2020;2182763;48;2
Manaus;01/09/2020;2182763;244;3
Manaus;02/09/2020;2182763;443;127
Manaus;03/09/2020;2182763;274;23
Manaus;04/09/2020;2182763;265;3
Manaus;05/09/2020;2182763;271;4
Manaus;06/09/2020;2182763;38;1
Manaus;07/09/2020;2182763;22;0
Manaus;08/09/2020;2182763;65;2
Manaus;09/09/2020;2182763;330;4
Manaus;10/09/2020;2182763;311;4
Manaus;11/09/2020;2182763;312;5
Manaus;12/09/2020;2182763;306;3
Manaus;13/09/2020;2182763;69;1
Manaus;14/09/2020;2182763;65;3
Manaus;15/09/2020;2182763;448;4
Manaus;16/09/2020;2182763;327;5
Manaus;17/09/2020;2182763;368;3
Manaus;18/09/2020;2182763;507;13
Manaus;19/09/2020;2182763;373;4
Manaus;20/09/2020;2182763;75;0
Manaus;21/09/2020;2182763;40;2
Manaus;22/09/2020;2182763;378;0
Manaus;23/09/2020;2182763;412;14
Manaus;24/09/2020;2182763;364;5
Manaus;25/09/2020;2182763;484;6
Manaus;26/09/2020;2182763;660;20
Manaus;27/09/2020;2182763;62;2
Manaus;28/09/2020;2182763;57;1
Manaus;29/09/2020;2182763;846;2
Manaus;30/09/2020;2182763;763;118
Manaus;01/10/2020;2182763;414;1
Manaus;02/10/2020;2182763;592;2
Manaus;03/10/2020;2182763;579;6
Manaus;04/10/2020;2182763;97;3
Manaus;05/10/2020;2182763;64;7
Manaus;06/10/2020;2182763;523;5
Manaus;07/10/2020;2182763;398;8
Manaus;08/10/2020;2182763;368;6
Manaus;09/10/2020;2182763;523;5
Manaus;10/10/2020;2182763;426;10
Manaus;11/10/2020;2182763;254;2
Manaus;12/10/2020;2182763;-106;6
Manaus;13/10/2020;2182763;135;3
Manaus;14/10/2020;2182763;330;12
Manaus;15/10/2020;2182763;446;19
Manaus;16/10/2020;2182763;51;13
Manaus;17/10/2020;2182763;1068;12
Manaus;18/10/2020;2182763;300;3
Manaus;19/10/2020;2182763;57;6
Manaus;20/10/2020;2182763;475;9
Manaus;21/10/2020;2182763;1233;13
Manaus;22/10/2020;2182763;353;15
Manaus;23/10/2020;2182763;480;22
Manaus;24/10/2020;2182763;481;0
Manaus;25/10/2020;2182763;214;7
Manaus;26/10/2020;2182763;42;9
Manaus;27/10/2020;2182763;490;8
Manaus;28/10/2020;2182763;418;11
Manaus;29/10/2020;2182763;499;20
Manaus;30/10/2020;2182763;433;6
Manaus;31/10/2020;2182763;120;10
Manaus;01/11/2020;2182763;122;6
Manaus;02/11/2020;2182763;53;7
Manaus;03/11/2020;2182763;148;4
Manaus;04/11/2020;2182763;387;7
Manaus;05/11/2020;2182763;249;13
Manaus;06/11/2020;2182763;0;0
Manaus;07/11/2020;2182763;674;8
Manaus;08/11/2020;2182763;136;1
