municipio;data;populacaoTCU2019; casos ;obitos
Belo Horizonte;09/01/2021;2512070;1297;17
Belo Horizonte;10/01/2021;2512070;0;17
Belo Horizonte;11/01/2021;2512070;0;2
Belo Horizonte;12/01/2021;2512070;2010;2
Belo Horizonte;13/01/2021;2512070;1023;4
Belo Horizonte;14/01/2021;2512070;1709;13
Belo Horizonte;15/01/2021;2512070;1025;26
Belo Horizonte;16/01/2021;2512070;1414;32
Belo Horizonte;17/01/2021;2512070;1173;6
Belo Horizonte;18/01/2021;2512070;298;0
Belo Horizonte;19/01/2021;2512070;437;0
Belo Horizonte;20/01/2021;2512070;0;45
Belo Horizonte;21/01/2021;2512070;1520;19
Belo Horizonte;22/01/2021;2512070;1979;32
Belo Horizonte;23/01/2021;2512070;853;27
Belo Horizonte;24/01/2021;2512070;0;19
Belo Horizonte;25/01/2021;2512070;1060;0
Belo Horizonte;26/01/2021;2512070;835;1
Belo Horizonte;27/01/2021;2512070;1565;18
Belo Horizonte;28/01/2021;2512070;1355;14
Belo Horizonte;29/01/2021;2512070;0;10
Belo Horizonte;30/01/2021;2512070;2207;16
Belo Horizonte;31/01/2021;2512070;838;23
Belo Horizonte;01/02/2021;2512070;210;0
Belo Horizonte;02/02/2021;2512070;270;-1
Belo Horizonte;03/02/2021;2512070;0;19
Belo Horizonte;04/02/2021;2512070;2073;34
Belo Horizonte;05/02/2021;2512070;0;37
Belo Horizonte;06/02/2021;2512070;0;14
Belo Horizonte;07/02/2021;2512070;3041;7
Belo Horizonte;08/02/2021;2512070;204;0
Belo Horizonte;09/02/2021;2512070;262;1
Belo Horizonte;10/02/2021;2512070;1025;27
Belo Horizonte;11/02/2021;2512070;1183;33
Belo Horizonte;12/02/2021;2512070;680;40
Belo Horizonte;13/02/2021;2512070;757;23
Belo Horizonte;14/02/2021;2512070;0;24
Belo Horizonte;15/02/2021;2512070;0;0
Belo Horizonte;16/02/2021;2512070;0;1
Belo Horizonte;17/02/2021;2512070;151;41
Belo Horizonte;18/02/2021;2512070;0;24
Belo Horizonte;19/02/2021;2512070;62;36
Belo Horizonte;20/02/2021;2512070;4124;31
Belo Horizonte;21/02/2021;2512070;0;13
Belo Horizonte;22/02/2021;2512070;0;0
Belo Horizonte;23/02/2021;2512070;1969;0
Belo Horizonte;24/02/2021;2512070;0;24
Belo Horizonte;25/02/2021;2512070;2366;15
Belo Horizonte;26/02/2021;2512070;1378;14
Belo Horizonte;27/02/2021;2512070;0;9
Belo Horizonte;28/02/2021;2512070;0;12
Belo Horizonte;01/03/2021;2512070;2566;0
Belo Horizonte;02/03/2021;2512070;395;0
Belo Horizonte;03/03/2021;2512070;970;24
Belo Horizonte;04/03/2021;2512070;1186;14
Belo Horizonte;05/03/2021;2512070;1254;11
